Agent,ELO,Wins,Losses,Draws,Win%
Random,1644,508,292,0,63.5%
NEAT-_gen11,1399,193,167,0,53.6%
NEAT-_gen13,1410,5,15,0,25.0%
NEAT-_gen19,1435,12,28,0,30.0%
NEAT-_gen28,1431,85,95,0,47.2%
NEAT-_gen29,1376,19,41,0,31.7%
NEAT-_gen06,1409,4,16,0,20.0%
NEAT-_gen07,1446,121,139,0,46.5%
NEAT-_gen08,1403,48,72,0,40.0%
NEAT-_gen10,1435,204,196,0,51.0%
NEAT-_gen20,1443,141,159,0,47.0%
NEAT-_gen21,1407,95,125,0,43.2%
NEAT-_gen02,1441,265,255,0,51.0%
NEAT-_gen05,1518,330,250,0,56.9%
NEAT-_gen12,1416,22,38,0,36.7%
NEAT-_gen17,1437,96,124,0,43.6%
NEAT-_gen18,1439,4,16,0,20.0%
NEAT-_gen26,1417,228,252,0,47.5%
NEAT-_gen23,1537,310,270,0,53.4%
NEAT-_gen24,1598,260,260,0,50.0%
NEAT-_gen25,1575,267,233,0,53.4%
NEAT-_gen27,1588,235,265,0,47.0%
NEAT-_gen30,1423,8,32,0,20.0%
NEAT-_gen14,1528,202,258,0,43.9%
NEAT-_gen16,1538,225,235,0,48.9%
NEAT-_gen03,1607,243,217,0,52.8%
NEAT-_gen22,1507,226,214,0,51.4%
NEAT-_gen01,1614,205,215,0,48.8%
NEAT-_gen04,1514,190,230,0,45.2%
NEAT-_gen15,1630,191,229,0,45.5%
NEAT-_gen09,1640,236,184,0,56.2%
AlphaGo-128_g1000_e10_20250509-072804,1562,210,210,0,50.0%
AlphaGo-128_g20_e6_20250325-192146,1431,5,15,0,25.0%
AlphaGo-64_g100_e5_20250509-080406,1575,210,210,0,50.0%
AlphaGo-64_g10_e3_20250325-192621,1577,215,205,0,51.2%
AlphaGo-128_g20_e6_20250325-192621,1654,197,203,0,49.2%
AlphaGo-128_g20_e6_20250325-192808,1449,80,100,0,44.4%
AlphaGo-256_g2000_e20_20250509-080407,1392,4,16,0,20.0%
AlphaGo-64_g100_e5_20250509-072802,1640,208,172,0,54.7%
AlphaGo-64_g10_e3_20250325-192146,1569,171,209,0,45.0%
AlphaGo-64_g10_e3_20250325-192808,1442,22,38,0,36.7%

Head-to-Head Results:
Agent 1,Agent 2,Agent 1 Wins,Agent 2 Wins,Draws
Random,NEAT-_gen11,8,12,0
Random,NEAT-_gen13,15,5,0
Random,NEAT-_gen19,14,6,0
Random,NEAT-_gen28,11,9,0
Random,NEAT-_gen29,11,9,0
Random,NEAT-_gen06,16,4,0
Random,NEAT-_gen07,11,9,0
Random,NEAT-_gen08,13,7,0
Random,NEAT-_gen10,13,7,0
Random,NEAT-_gen20,16,4,0
Random,NEAT-_gen21,11,9,0
Random,NEAT-_gen02,13,7,0
Random,NEAT-_gen05,9,11,0
Random,NEAT-_gen12,13,7,0
Random,NEAT-_gen17,12,8,0
Random,NEAT-_gen18,16,4,0
Random,NEAT-_gen26,14,6,0
Random,NEAT-_gen23,13,7,0
Random,NEAT-_gen24,13,7,0
Random,NEAT-_gen25,15,5,0
Random,NEAT-_gen27,15,5,0
Random,NEAT-_gen30,17,3,0
Random,NEAT-_gen14,12,8,0
Random,NEAT-_gen16,12,8,0
Random,NEAT-_gen03,12,8,0
Random,NEAT-_gen22,11,9,0
Random,NEAT-_gen01,15,5,0
Random,NEAT-_gen04,14,6,0
Random,NEAT-_gen15,10,10,0
Random,NEAT-_gen09,11,9,0
Random,AlphaGo-128_g1000_e10_20250509-072804,11,9,0
Random,AlphaGo-128_g20_e6_20250325-192146,15,5,0
Random,AlphaGo-64_g100_e5_20250509-080406,10,10,0
Random,AlphaGo-64_g10_e3_20250325-192621,8,12,0
Random,AlphaGo-128_g20_e6_20250325-192621,11,9,0
Random,AlphaGo-128_g20_e6_20250325-192808,10,10,0
Random,AlphaGo-256_g2000_e20_20250509-080407,16,4,0
Random,AlphaGo-64_g100_e5_20250509-072802,11,9,0
Random,AlphaGo-64_g10_e3_20250325-192146,15,5,0
Random,AlphaGo-64_g10_e3_20250325-192808,15,5,0
NEAT-_gen11,NEAT-_gen13,0,0,0
NEAT-_gen11,NEAT-_gen19,14,6,0
NEAT-_gen11,NEAT-_gen28,12,8,0
NEAT-_gen11,NEAT-_gen29,14,6,0
NEAT-_gen11,NEAT-_gen06,0,0,0
NEAT-_gen11,NEAT-_gen07,11,9,0
NEAT-_gen11,NEAT-_gen08,13,7,0
NEAT-_gen11,NEAT-_gen10,6,14,0
NEAT-_gen11,NEAT-_gen20,13,7,0
NEAT-_gen11,NEAT-_gen21,12,8,0
NEAT-_gen11,NEAT-_gen02,10,10,0
NEAT-_gen11,NEAT-_gen05,11,9,0
NEAT-_gen11,NEAT-_gen12,12,8,0
NEAT-_gen11,NEAT-_gen17,10,10,0
NEAT-_gen11,NEAT-_gen18,0,0,0
NEAT-_gen11,NEAT-_gen26,8,12,0
NEAT-_gen11,NEAT-_gen23,8,12,0
NEAT-_gen11,NEAT-_gen24,11,9,0
NEAT-_gen11,NEAT-_gen25,9,11,0
NEAT-_gen11,NEAT-_gen27,7,13,0
NEAT-_gen11,NEAT-_gen30,0,0,0
NEAT-_gen11,NEAT-_gen14,0,0,0
NEAT-_gen11,NEAT-_gen16,0,0,0
NEAT-_gen11,NEAT-_gen03,0,0,0
NEAT-_gen11,NEAT-_gen22,0,0,0
NEAT-_gen11,NEAT-_gen01,0,0,0
NEAT-_gen11,NEAT-_gen04,0,0,0
NEAT-_gen11,NEAT-_gen15,0,0,0
NEAT-_gen11,NEAT-_gen09,0,0,0
NEAT-_gen11,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen11,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen11,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen11,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen11,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen11,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen11,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen11,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen11,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen11,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen13,NEAT-_gen19,0,0,0
NEAT-_gen13,NEAT-_gen28,0,0,0
NEAT-_gen13,NEAT-_gen29,0,0,0
NEAT-_gen13,NEAT-_gen06,0,0,0
NEAT-_gen13,NEAT-_gen07,0,0,0
NEAT-_gen13,NEAT-_gen08,0,0,0
NEAT-_gen13,NEAT-_gen10,0,0,0
NEAT-_gen13,NEAT-_gen20,0,0,0
NEAT-_gen13,NEAT-_gen21,0,0,0
NEAT-_gen13,NEAT-_gen02,0,0,0
NEAT-_gen13,NEAT-_gen05,0,0,0
NEAT-_gen13,NEAT-_gen12,0,0,0
NEAT-_gen13,NEAT-_gen17,0,0,0
NEAT-_gen13,NEAT-_gen18,0,0,0
NEAT-_gen13,NEAT-_gen26,0,0,0
NEAT-_gen13,NEAT-_gen23,0,0,0
NEAT-_gen13,NEAT-_gen24,0,0,0
NEAT-_gen13,NEAT-_gen25,0,0,0
NEAT-_gen13,NEAT-_gen27,0,0,0
NEAT-_gen13,NEAT-_gen30,0,0,0
NEAT-_gen13,NEAT-_gen14,0,0,0
NEAT-_gen13,NEAT-_gen16,0,0,0
NEAT-_gen13,NEAT-_gen03,0,0,0
NEAT-_gen13,NEAT-_gen22,0,0,0
NEAT-_gen13,NEAT-_gen01,0,0,0
NEAT-_gen13,NEAT-_gen04,0,0,0
NEAT-_gen13,NEAT-_gen15,0,0,0
NEAT-_gen13,NEAT-_gen09,0,0,0
NEAT-_gen13,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen13,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen13,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen13,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen13,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen13,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen13,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen13,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen13,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen13,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen19,NEAT-_gen28,0,0,0
NEAT-_gen19,NEAT-_gen29,0,0,0
NEAT-_gen19,NEAT-_gen06,0,0,0
NEAT-_gen19,NEAT-_gen07,0,0,0
NEAT-_gen19,NEAT-_gen08,0,0,0
NEAT-_gen19,NEAT-_gen10,0,0,0
NEAT-_gen19,NEAT-_gen20,0,0,0
NEAT-_gen19,NEAT-_gen21,0,0,0
NEAT-_gen19,NEAT-_gen02,0,0,0
NEAT-_gen19,NEAT-_gen05,0,0,0
NEAT-_gen19,NEAT-_gen12,0,0,0
NEAT-_gen19,NEAT-_gen17,0,0,0
NEAT-_gen19,NEAT-_gen18,0,0,0
NEAT-_gen19,NEAT-_gen26,0,0,0
NEAT-_gen19,NEAT-_gen23,0,0,0
NEAT-_gen19,NEAT-_gen24,0,0,0
NEAT-_gen19,NEAT-_gen25,0,0,0
NEAT-_gen19,NEAT-_gen27,0,0,0
NEAT-_gen19,NEAT-_gen30,0,0,0
NEAT-_gen19,NEAT-_gen14,0,0,0
NEAT-_gen19,NEAT-_gen16,0,0,0
NEAT-_gen19,NEAT-_gen03,0,0,0
NEAT-_gen19,NEAT-_gen22,0,0,0
NEAT-_gen19,NEAT-_gen01,0,0,0
NEAT-_gen19,NEAT-_gen04,0,0,0
NEAT-_gen19,NEAT-_gen15,0,0,0
NEAT-_gen19,NEAT-_gen09,0,0,0
NEAT-_gen19,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen19,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen19,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen19,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen28,NEAT-_gen29,16,4,0
NEAT-_gen28,NEAT-_gen06,0,0,0
NEAT-_gen28,NEAT-_gen07,13,7,0
NEAT-_gen28,NEAT-_gen08,8,12,0
NEAT-_gen28,NEAT-_gen10,7,13,0
NEAT-_gen28,NEAT-_gen20,8,12,0
NEAT-_gen28,NEAT-_gen21,10,10,0
NEAT-_gen28,NEAT-_gen02,6,14,0
NEAT-_gen28,NEAT-_gen05,0,0,0
NEAT-_gen28,NEAT-_gen12,0,0,0
NEAT-_gen28,NEAT-_gen17,0,0,0
NEAT-_gen28,NEAT-_gen18,0,0,0
NEAT-_gen28,NEAT-_gen26,0,0,0
NEAT-_gen28,NEAT-_gen23,0,0,0
NEAT-_gen28,NEAT-_gen24,0,0,0
NEAT-_gen28,NEAT-_gen25,0,0,0
NEAT-_gen28,NEAT-_gen27,0,0,0
NEAT-_gen28,NEAT-_gen30,0,0,0
NEAT-_gen28,NEAT-_gen14,0,0,0
NEAT-_gen28,NEAT-_gen16,0,0,0
NEAT-_gen28,NEAT-_gen03,0,0,0
NEAT-_gen28,NEAT-_gen22,0,0,0
NEAT-_gen28,NEAT-_gen01,0,0,0
NEAT-_gen28,NEAT-_gen04,0,0,0
NEAT-_gen28,NEAT-_gen15,0,0,0
NEAT-_gen28,NEAT-_gen09,0,0,0
NEAT-_gen28,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen28,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen28,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen28,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen28,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen28,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen28,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen28,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen28,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen28,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen29,NEAT-_gen06,0,0,0
NEAT-_gen29,NEAT-_gen07,0,0,0
NEAT-_gen29,NEAT-_gen08,0,0,0
NEAT-_gen29,NEAT-_gen10,0,0,0
NEAT-_gen29,NEAT-_gen20,0,0,0
NEAT-_gen29,NEAT-_gen21,0,0,0
NEAT-_gen29,NEAT-_gen02,0,0,0
NEAT-_gen29,NEAT-_gen05,0,0,0
NEAT-_gen29,NEAT-_gen12,0,0,0
NEAT-_gen29,NEAT-_gen17,0,0,0
NEAT-_gen29,NEAT-_gen18,0,0,0
NEAT-_gen29,NEAT-_gen26,0,0,0
NEAT-_gen29,NEAT-_gen23,0,0,0
NEAT-_gen29,NEAT-_gen24,0,0,0
NEAT-_gen29,NEAT-_gen25,0,0,0
NEAT-_gen29,NEAT-_gen27,0,0,0
NEAT-_gen29,NEAT-_gen30,0,0,0
NEAT-_gen29,NEAT-_gen14,0,0,0
NEAT-_gen29,NEAT-_gen16,0,0,0
NEAT-_gen29,NEAT-_gen03,0,0,0
NEAT-_gen29,NEAT-_gen22,0,0,0
NEAT-_gen29,NEAT-_gen01,0,0,0
NEAT-_gen29,NEAT-_gen04,0,0,0
NEAT-_gen29,NEAT-_gen15,0,0,0
NEAT-_gen29,NEAT-_gen09,0,0,0
NEAT-_gen29,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen29,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen29,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen29,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen29,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen29,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen29,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen29,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen29,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen29,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen06,NEAT-_gen07,0,0,0
NEAT-_gen06,NEAT-_gen08,0,0,0
NEAT-_gen06,NEAT-_gen10,0,0,0
NEAT-_gen06,NEAT-_gen20,0,0,0
NEAT-_gen06,NEAT-_gen21,0,0,0
NEAT-_gen06,NEAT-_gen02,0,0,0
NEAT-_gen06,NEAT-_gen05,0,0,0
NEAT-_gen06,NEAT-_gen12,0,0,0
NEAT-_gen06,NEAT-_gen17,0,0,0
NEAT-_gen06,NEAT-_gen18,0,0,0
NEAT-_gen06,NEAT-_gen26,0,0,0
NEAT-_gen06,NEAT-_gen23,0,0,0
NEAT-_gen06,NEAT-_gen24,0,0,0
NEAT-_gen06,NEAT-_gen25,0,0,0
NEAT-_gen06,NEAT-_gen27,0,0,0
NEAT-_gen06,NEAT-_gen30,0,0,0
NEAT-_gen06,NEAT-_gen14,0,0,0
NEAT-_gen06,NEAT-_gen16,0,0,0
NEAT-_gen06,NEAT-_gen03,0,0,0
NEAT-_gen06,NEAT-_gen22,0,0,0
NEAT-_gen06,NEAT-_gen01,0,0,0
NEAT-_gen06,NEAT-_gen04,0,0,0
NEAT-_gen06,NEAT-_gen15,0,0,0
NEAT-_gen06,NEAT-_gen09,0,0,0
NEAT-_gen06,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen06,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen06,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen06,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen06,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen06,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen06,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen06,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen06,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen06,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen07,NEAT-_gen08,11,9,0
NEAT-_gen07,NEAT-_gen10,13,7,0
NEAT-_gen07,NEAT-_gen20,9,11,0
NEAT-_gen07,NEAT-_gen21,8,12,0
NEAT-_gen07,NEAT-_gen02,8,12,0
NEAT-_gen07,NEAT-_gen05,8,12,0
NEAT-_gen07,NEAT-_gen12,13,7,0
NEAT-_gen07,NEAT-_gen17,9,11,0
NEAT-_gen07,NEAT-_gen18,0,0,0
NEAT-_gen07,NEAT-_gen26,8,12,0
NEAT-_gen07,NEAT-_gen23,9,11,0
NEAT-_gen07,NEAT-_gen24,0,0,0
NEAT-_gen07,NEAT-_gen25,0,0,0
NEAT-_gen07,NEAT-_gen27,0,0,0
NEAT-_gen07,NEAT-_gen30,0,0,0
NEAT-_gen07,NEAT-_gen14,0,0,0
NEAT-_gen07,NEAT-_gen16,0,0,0
NEAT-_gen07,NEAT-_gen03,0,0,0
NEAT-_gen07,NEAT-_gen22,0,0,0
NEAT-_gen07,NEAT-_gen01,0,0,0
NEAT-_gen07,NEAT-_gen04,0,0,0
NEAT-_gen07,NEAT-_gen15,0,0,0
NEAT-_gen07,NEAT-_gen09,0,0,0
NEAT-_gen07,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen07,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen07,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen07,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen07,AlphaGo-128_g20_e6_20250325-192621,0,0,0
