Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen07,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen07,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen07,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen07,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen07,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen08,NEAT-_gen10,7,13,0
NEAT-_gen08,NEAT-_gen20,6,14,0
NEAT-_gen08,NEAT-_gen21,0,0,0
NEAT-_gen08,NEAT-_gen02,0,0,0
NEAT-_gen08,NEAT-_gen05,0,0,0
NEAT-_gen08,NEAT-_gen12,0,0,0
NEAT-_gen08,NEAT-_gen17,0,0,0
NEAT-_gen08,NEAT-_gen18,0,0,0
NEAT-_gen08,NEAT-_gen26,0,0,0
NEAT-_gen08,NEAT-_gen23,0,0,0
NEAT-_gen08,NEAT-_gen24,0,0,0
NEAT-_gen08,NEAT-_gen25,0,0,0
NEAT-_gen08,NEAT-_gen27,0,0,0
NEAT-_gen08,NEAT-_gen30,0,0,0
NEAT-_gen08,NEAT-_gen14,0,0,0
NEAT-_gen08,NEAT-_gen16,0,0,0
NEAT-_gen08,NEAT-_gen03,0,0,0
NEAT-_gen08,NEAT-_gen22,0,0,0
NEAT-_gen08,NEAT-_gen01,0,0,0
NEAT-_gen08,NEAT-_gen04,0,0,0
NEAT-_gen08,NEAT-_gen15,0,0,0
NEAT-_gen08,NEAT-_gen09,0,0,0
NEAT-_gen08,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen08,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen08,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen08,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen10,NEAT-_gen20,11,9,0
NEAT-_gen10,NEAT-_gen21,9,11,0
NEAT-_gen10,NEAT-_gen02,10,10,0
NEAT-_gen10,NEAT-_gen05,8,12,0
NEAT-_gen10,NEAT-_gen12,0,0,0
NEAT-_gen10,NEAT-_gen17,10,10,0
NEAT-_gen10,NEAT-_gen18,0,0,0
NEAT-_gen10,NEAT-_gen26,13,7,0
NEAT-_gen10,NEAT-_gen23,12,8,0
NEAT-_gen10,NEAT-_gen24,10,10,0
NEAT-_gen10,NEAT-_gen25,7,13,0
NEAT-_gen10,NEAT-_gen27,12,8,0
NEAT-_gen10,NEAT-_gen30,15,5,0
NEAT-_gen10,NEAT-_gen14,10,10,0
NEAT-_gen10,NEAT-_gen16,9,11,0
NEAT-_gen10,NEAT-_gen03,8,12,0
NEAT-_gen10,NEAT-_gen22,6,14,0
NEAT-_gen10,NEAT-_gen01,0,0,0
NEAT-_gen10,NEAT-_gen04,0,0,0
NEAT-_gen10,NEAT-_gen15,0,0,0
NEAT-_gen10,NEAT-_gen09,0,0,0
NEAT-_gen10,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen10,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen10,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen10,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen20,NEAT-_gen21,12,8,0
NEAT-_gen20,NEAT-_gen02,7,13,0
NEAT-_gen20,NEAT-_gen05,9,11,0
NEAT-_gen20,NEAT-_gen12,0,0,0
NEAT-_gen20,NEAT-_gen17,10,10,0
NEAT-_gen20,NEAT-_gen18,0,0,0
NEAT-_gen20,NEAT-_gen26,10,10,0
NEAT-_gen20,NEAT-_gen23,11,9,0
NEAT-_gen20,NEAT-_gen24,11,9,0
NEAT-_gen20,NEAT-_gen25,6,14,0
NEAT-_gen20,NEAT-_gen27,8,12,0
NEAT-_gen20,NEAT-_gen30,0,0,0
NEAT-_gen20,NEAT-_gen14,0,0,0
NEAT-_gen20,NEAT-_gen16,0,0,0
NEAT-_gen20,NEAT-_gen03,0,0,0
NEAT-_gen20,NEAT-_gen22,0,0,0
NEAT-_gen20,NEAT-_gen01,0,0,0
NEAT-_gen20,NEAT-_gen04,0,0,0
NEAT-_gen20,NEAT-_gen15,0,0,0
NEAT-_gen20,NEAT-_gen09,0,0,0
NEAT-_gen20,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen20,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen20,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen20,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen20,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen20,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen20,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen20,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen20,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen20,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen21,NEAT-_gen02,10,10,0
NEAT-_gen21,NEAT-_gen05,7,13,0
NEAT-_gen21,NEAT-_gen12,0,0,0
NEAT-_gen21,NEAT-_gen17,11,9,0
NEAT-_gen21,NEAT-_gen18,0,0,0
NEAT-_gen21,NEAT-_gen26,5,15,0
NEAT-_gen21,NEAT-_gen23,4,16,0
NEAT-_gen21,NEAT-_gen24,0,0,0
NEAT-_gen21,NEAT-_gen25,0,0,0
NEAT-_gen21,NEAT-_gen27,0,0,0
NEAT-_gen21,NEAT-_gen30,0,0,0
NEAT-_gen21,NEAT-_gen14,0,0,0
NEAT-_gen21,NEAT-_gen16,0,0,0
NEAT-_gen21,NEAT-_gen03,0,0,0
NEAT-_gen21,NEAT-_gen22,0,0,0
NEAT-_gen21,NEAT-_gen01,0,0,0
NEAT-_gen21,NEAT-_gen04,0,0,0
NEAT-_gen21,NEAT-_gen15,0,0,0
NEAT-_gen21,NEAT-_gen09,0,0,0
NEAT-_gen21,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen21,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen21,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen21,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen21,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen21,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen21,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen21,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen21,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen21,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen02,NEAT-_gen05,14,6,0
NEAT-_gen02,NEAT-_gen12,0,0,0
NEAT-_gen02,NEAT-_gen17,10,10,0
NEAT-_gen02,NEAT-_gen18,0,0,0
NEAT-_gen02,NEAT-_gen26,8,12,0
NEAT-_gen02,NEAT-_gen23,13,7,0
NEAT-_gen02,NEAT-_gen24,9,11,0
NEAT-_gen02,NEAT-_gen25,12,8,0
NEAT-_gen02,NEAT-_gen27,14,6,0
NEAT-_gen02,NEAT-_gen30,0,0,0
NEAT-_gen02,NEAT-_gen14,11,9,0
NEAT-_gen02,NEAT-_gen16,9,11,0
NEAT-_gen02,NEAT-_gen03,7,13,0
NEAT-_gen02,NEAT-_gen22,8,12,0
NEAT-_gen02,NEAT-_gen01,11,9,0
NEAT-_gen02,NEAT-_gen04,10,10,0
NEAT-_gen02,NEAT-_gen15,11,9,0
NEAT-_gen02,NEAT-_gen09,10,10,0
NEAT-_gen02,AlphaGo-128_g1000_e10_20250509-072804,7,13,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen02,AlphaGo-64_g100_e5_20250509-080406,9,11,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192621,7,13,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192621,9,11,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen02,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen02,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen05,NEAT-_gen12,0,0,0
NEAT-_gen05,NEAT-_gen17,12,8,0
NEAT-_gen05,NEAT-_gen18,0,0,0
NEAT-_gen05,NEAT-_gen26,15,5,0
NEAT-_gen05,NEAT-_gen23,8,12,0
NEAT-_gen05,NEAT-_gen24,15,5,0
NEAT-_gen05,NEAT-_gen25,11,9,0
NEAT-_gen05,NEAT-_gen27,13,7,0
NEAT-_gen05,NEAT-_gen30,0,0,0
NEAT-_gen05,NEAT-_gen14,14,6,0
NEAT-_gen05,NEAT-_gen16,9,11,0
NEAT-_gen05,NEAT-_gen03,10,10,0
NEAT-_gen05,NEAT-_gen22,11,9,0
NEAT-_gen05,NEAT-_gen01,11,9,0
NEAT-_gen05,NEAT-_gen04,14,6,0
NEAT-_gen05,NEAT-_gen15,10,10,0
NEAT-_gen05,NEAT-_gen09,12,8,0
NEAT-_gen05,AlphaGo-128_g1000_e10_20250509-072804,13,7,0
NEAT-_gen05,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen05,AlphaGo-64_g100_e5_20250509-080406,13,7,0
NEAT-_gen05,AlphaGo-64_g10_e3_20250325-192621,9,11,0
NEAT-_gen05,AlphaGo-128_g20_e6_20250325-192621,12,8,0
NEAT-_gen05,AlphaGo-128_g20_e6_20250325-192808,10,10,0
NEAT-_gen05,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen05,AlphaGo-64_g100_e5_20250509-072802,10,10,0
NEAT-_gen05,AlphaGo-64_g10_e3_20250325-192146,12,8,0
NEAT-_gen05,AlphaGo-64_g10_e3_20250325-192808,12,8,0
NEAT-_gen12,NEAT-_gen17,0,0,0
NEAT-_gen12,NEAT-_gen18,0,0,0
NEAT-_gen12,NEAT-_gen26,0,0,0
NEAT-_gen12,NEAT-_gen23,0,0,0
NEAT-_gen12,NEAT-_gen24,0,0,0
NEAT-_gen12,NEAT-_gen25,0,0,0
NEAT-_gen12,NEAT-_gen27,0,0,0
NEAT-_gen12,NEAT-_gen30,0,0,0
NEAT-_gen12,NEAT-_gen14,0,0,0
NEAT-_gen12,NEAT-_gen16,0,0,0
NEAT-_gen12,NEAT-_gen03,0,0,0
NEAT-_gen12,NEAT-_gen22,0,0,0
NEAT-_gen12,NEAT-_gen01,0,0,0
NEAT-_gen12,NEAT-_gen04,0,0,0
NEAT-_gen12,NEAT-_gen15,0,0,0
NEAT-_gen12,NEAT-_gen09,0,0,0
NEAT-_gen12,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen12,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen12,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen12,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen12,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen12,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen12,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen12,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen12,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen12,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen17,NEAT-_gen18,0,0,0
NEAT-_gen17,NEAT-_gen26,8,12,0
NEAT-_gen17,NEAT-_gen23,9,11,0
NEAT-_gen17,NEAT-_gen24,3,17,0
NEAT-_gen17,NEAT-_gen25,0,0,0
NEAT-_gen17,NEAT-_gen27,0,0,0
NEAT-_gen17,NEAT-_gen30,0,0,0
NEAT-_gen17,NEAT-_gen14,0,0,0
NEAT-_gen17,NEAT-_gen16,0,0,0
NEAT-_gen17,NEAT-_gen03,0,0,0
NEAT-_gen17,NEAT-_gen22,0,0,0
NEAT-_gen17,NEAT-_gen01,0,0,0
NEAT-_gen17,NEAT-_gen04,0,0,0
NEAT-_gen17,NEAT-_gen15,0,0,0
NEAT-_gen17,NEAT-_gen09,0,0,0
NEAT-_gen17,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen17,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen17,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen17,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen17,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen17,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen17,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen17,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen17,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen17,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen18,NEAT-_gen26,0,0,0
NEAT-_gen18,NEAT-_gen23,0,0,0
NEAT-_gen18,NEAT-_gen24,0,0,0
NEAT-_gen18,NEAT-_gen25,0,0,0
NEAT-_gen18,NEAT-_gen27,0,0,0
NEAT-_gen18,NEAT-_gen30,0,0,0
NEAT-_gen18,NEAT-_gen14,0,0,0
NEAT-_gen18,NEAT-_gen16,0,0,0
NEAT-_gen18,NEAT-_gen03,0,0,0
NEAT-_gen18,NEAT-_gen22,0,0,0
NEAT-_gen18,NEAT-_gen01,0,0,0
NEAT-_gen18,NEAT-_gen04,0,0,0
NEAT-_gen18,NEAT-_gen15,0,0,0
NEAT-_gen18,NEAT-_gen09,0,0,0
NEAT-_gen18,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen18,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen18,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen18,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen26,NEAT-_gen23,11,9,0
NEAT-_gen26,NEAT-_gen24,10,10,0
NEAT-_gen26,NEAT-_gen25,7,13,0
NEAT-_gen26,NEAT-_gen27,9,11,0
NEAT-_gen26,NEAT-_gen30,0,0,0
NEAT-_gen26,NEAT-_gen14,10,10,0
NEAT-_gen26,NEAT-_gen16,9,11,0
NEAT-_gen26,NEAT-_gen03,9,11,0
NEAT-_gen26,NEAT-_gen22,10,10,0
NEAT-_gen26,NEAT-_gen01,10,10,0
NEAT-_gen26,NEAT-_gen04,12,8,0
NEAT-_gen26,NEAT-_gen15,12,8,0
NEAT-_gen26,NEAT-_gen09,5,15,0
NEAT-_gen26,AlphaGo-128_g1000_e10_20250509-072804,11,9,0
NEAT-_gen26,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen26,AlphaGo-64_g100_e5_20250509-080406,9,11,0
NEAT-_gen26,AlphaGo-64_g10_e3_20250325-192621,3,17,0
NEAT-_gen26,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen26,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen26,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen26,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen26,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen26,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen23,NEAT-_gen24,11,9,0
NEAT-_gen23,NEAT-_gen25,11,9,0
NEAT-_gen23,NEAT-_gen27,12,8,0
NEAT-_gen23,NEAT-_gen30,0,0,0
NEAT-_gen23,NEAT-_gen14,11,9,0
NEAT-_gen23,NEAT-_gen16,11,9,0
NEAT-_gen23,NEAT-_gen03,9,11,0
NEAT-_gen23,NEAT-_gen22,11,9,0
NEAT-_gen23,NEAT-_gen01,8,12,0
NEAT-_gen23,NEAT-_gen04,12,8,0
NEAT-_gen23,NEAT-_gen15,15,5,0
NEAT-_gen23,NEAT-_gen09,11,9,0
NEAT-_gen23,AlphaGo-128_g1000_e10_20250509-072804,12,8,0
NEAT-_gen23,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen23,AlphaGo-64_g100_e5_20250509-080406,10,10,0
NEAT-_gen23,AlphaGo-64_g10_e3_20250325-192621,11,9,0
NEAT-_gen23,AlphaGo-128_g20_e6_20250325-192621,13,7,0
NEAT-_gen23,AlphaGo-128_g20_e6_20250325-192808,10,10,0
NEAT-_gen23,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen23,AlphaGo-64_g100_e5_20250509-072802,9,11,0
NEAT-_gen23,AlphaGo-64_g10_e3_20250325-192146,10,10,0
NEAT-_gen23,AlphaGo-64_g10_e3_20250325-192808,11,9,0
NEAT-_gen24,NEAT-_gen25,6,14,0
